Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
28363993,Finding God in the Waves: How I Lost My Faith and Found It Again Through Science,Mike McHargue,"McHargue, Mike",Rob Bell,"=""1101906049""","=""9781101906040""",5,4.23,Convergent Books,Hardcover,288,2016,2016,2016/10/24,2016/05/10,2016-favorites,2016-favorites (#4),read,"I loved this book and it represents the culmination of all of the work that Mike McHargue has done that has been so instrumental to me. But it's hard to review a book like this because it's not one I would tell everyone to read. If you are a person who genuinely desires to know God but finds that the more you seek, the more distance you find between you and the church, this book may be for you. <br/><br/>Does it fit within traditional orthodoxy? Not completely. Will some people view it as heretical and threatening? Definitely. But does it provide a coherent voice for many who struggle to connect all the dots of modern evangelicalism? Does it help lay a foundation of thought that encourages continued searching and understanding of God rather than abandoning the faith altogether? It does, and it is why I find it so compelling and necessary. <br/><br/>If the thought of whether you are a Christian or whether you fit in at your church couldn't be farther from your mind, I wouldn't recommend this book. But if you're unsettled, if you are struggling to put into words a feeling of dissonance in your faith, this book may be helpful to you.",,,1,0
29487531,Scaling Lean: Mastering the Key Metrics for Startup Growth,Ash Maurya,"Maurya, Ash",,"=""1101980532""","=""9781101980538""",0,4.29,Portfolio,Kindle Edition,305,2016,2016,,2016/06/27,"to-read, stalled","to-read (#89), stalled (#3)",to-read,,,,0,0
398323,Out Stealing Horses,Per Petterson,"Petterson, Per",Anne Born,"=""""","=""""",0,3.81,Graywolf Press,Hardcover,258,2007,2003,,2016/09/16,to-read,to-read (#88),to-read,,,,0,0
326025,Roads To Santiago,Cees Nooteboom,"Nooteboom, Cees",,"=""0156011581""","=""9780156011587""",0,3.77,Harper Paperbacks,Paperback,368,2000,1992,,2016/09/16,to-read,to-read (#87),to-read,,,,0,0
1040534,Rituals,Cees Nooteboom,"Nooteboom, Cees",Adrienne Dixon,"=""0140157905""","=""9780140157901""",0,3.67,Penguin Books,Paperback,145,1992,1980,,2016/09/16,to-read,to-read (#86),to-read,,,,0,0
61663,Pale Blue Dot: A Vision of the Human Future in Space,Carl Sagan,"Sagan, Carl",,"=""0345376595""","=""9780345376596""",0,4.34,Ballantine Books,Paperback,384,1997,1994,,2015/11/01,"to-read, stalled","to-read (#85), stalled (#2)",to-read,,,,0,0
6101161,"Refractions: A Journey of Faith, Art, and Culture",Makoto Fujimura,"Fujimura, Makoto",Tim Keller,"=""1600063012""","=""9781600063015""",0,4.32,NavPress,Paperback,176,2009,2009,,2016/09/07,to-read,to-read (#84),to-read,,,,0,0
28268506,Silence and Beauty: Hidden Faith Born of Suffering,Makoto Fujimura,"Fujimura, Makoto",Philip Yancey,"=""0830844597""","=""9780830844593""",0,4.16,IVP,Hardcover,263,2016,2016,,2016/09/07,to-read,to-read (#83),to-read,,,,0,0
458012,Resistance and Contemplation: The Way of Liberation,James W. Douglass,"Douglass, James W.",,"=""1597526096""","=""9781597526098""",0,4.29,Wipf and Stock,Paperback,196,2006,2006,,2016/09/07,to-read,to-read (#82),to-read,,,,0,0
179605,Contemplation in a World of Action,Thomas Merton,"Merton, Thomas",Robert Coles,"=""0268008345""","=""9780268008345""",0,4.12,University of Notre Dame Press,Paperback,280,1998,1965,,2016/09/07,to-read,to-read (#81),to-read,,,,0,0
30371613,Reviving Old Scratch: Demons and the Devil for Doubters and the Disenchanted,Richard  Beck,"Beck, Richard",,"=""1506401368""","=""9781506401362""",4,4.26,Fortress Press,Kindle Edition,214,2016,,2016/09/03,2016/04/19,,,read,,,,1,0
6596,The Four Agreements: A Practical Guide to Personal Freedom,Miguel Ruiz,"Ruiz, Miguel",Janet Mills,"=""1878424505""","=""9781878424501""",0,4.19,Amber-Allen Publishing,Hardcover,152,2001,1997,,2016/09/01,to-read,to-read (#80),to-read,,,,0,0
1617,Night,Elie Wiesel,"Wiesel, Elie","Marion Wiesel, François Mauriac","=""0374500010""","=""9780374500016""",0,4.38,Hill & Wang,Paperback,120,2006,1956,,2016/08/18,to-read,to-read (#79),to-read,,,,0,0
730139,Gravity and Grace,Simone Weil,"Weil, Simone","Gustave Thibon, Emma Crawford, Mario von der Ruhr","=""0415290015""","=""9780415290012""",0,4.28,Routledge,Paperback,224,2002,1947,,2016/08/15,to-read,to-read (#78),to-read,,,,0,0
28132722,Harry Potter and the Sorcerer's Stone (Harry Potter #1),J.K. Rowling,"Rowling, J.K.",Olly Moss,"=""""","=""""",0,4.47,Pottermore from J.K. Rowling,ebook,309,2015,1997,2016/08/14,2016/08/07,,,read,,,,1,0
14201,Jonathan Strange & Mr Norrell,Susanna Clarke,"Clarke, Susanna",,"=""""","=""""",0,3.87,Tor Books,Paperback,1006,2006,2004,,2016/08/13,to-read,to-read (#77),to-read,,,,0,0
123291,Telling Secrets,Frederick Buechner,"Buechner, Frederick",,"=""0060609362""","=""9780060609368""",0,4.32,HarperOne,Paperback,128,2000,1991,,2016/07/29,to-read,to-read (#76),to-read,,,,0,0
